"136-55 37th Ave - Flushing, New York",16000,Commercial,,"Approximate Sq. Feet: 3,000 | Approximate Exterior Sq. Ft: 3200 Sq Ft"
"37-12 Prince St - Flushing, New York",10045,Commercial,,"Approximate Sq. Feet: 2,050 | Approximate Exterior Sq. Ft: 2050 Sq Ft"
"43-22 Queens Street, 714 - Long Island City, New York",7005,Rental,2 Beds | 2 Baths,Listing ID: 3883794
"4610 Center Boulevard, 2513 - Long Island City, New York",6670,"Rental, Doorman",2 Beds | 2 Baths,Listing ID: 3886542
"The Galaxy, 5-03 50th Avenue, 5B - Long Island City, New York",6500,Condo,2 Beds | 2 Baths,"Approximate Sq. Feet: 1,596 | Approximate Exterior Sq. Ft: 342"
"4610 Center Boulevard, 1013 - Long Island City, New York",6394,"Rental, Doorman",2 Beds | 2 Baths,Listing ID: 3861437
"2-14 50th Avenue, 805E - Long Island City, New York",5860,"Rental, Doorman",2 Beds | 2 Baths,Approximate Sq. Feet: 994
"4615 Center Boulevard, 3708 - Long Island City, New York",5839,"Rental, Doorman",2 Beds | 2 Baths,Listing ID: 3868553
"11-02 49th Avenue, 7C - Long Island City, New York",5700,"Condo, Doorman",2 Beds | 2 Baths | 1 Half Bath,"Approximate Sq. Feet: 1,389 | Approximate Exterior Sq. Ft: 343"
"8711 118th St - Richmond Hill, New York",5500,Commercial,,"Approximate Sq. Feet: 1,992 | Approximate Exterior Sq. Ft: 4600 Sq Ft"
"4545 Center Boulevard, 2201 - Long Island City, New York",5134,"Rental, Doorman",2 Beds | 2 Baths,Listing ID: 3886491
"The View at East Coast, 46-30 Center Boulevard, 304 - Long Island City, New York",5000,"Condo, Doorman",2 Beds | 2 Baths,"Approximate Sq. Feet: 1,153"
"Crescent Club, 41-17 Crescent Street, 9D - Long Island City, New York",4950,Rental,2 Beds | 2 Baths,"Approximate Sq. Feet: 1,140 | Approximate Exterior Sq. Ft: 439"
"163 Beach 5th St, B - Far Rockaway, New York",4900,Single Family Townhouse,5 Beds | 2 Baths | 1 Half Bath,"Approximate Sq. Feet: 2,800"
"42-20 24th Street, 17C - Long Island City, New York",4650,"Rental, Doorman",2 Beds | 1 Bath,Listing ID: 3675324
"11-02 49th Avenue, 2C - Long Island City, New York",4500,"Condo, Doorman",2 Beds | 2 Baths,"Approximate Sq. Feet: 1,060"
"11-02 49th Avenue, 6B - Long Island City, New York",4400,"Condo, Doorman",2 Beds | 2 Baths,"Approximate Sq. Feet: 1,050"
"43-22 Queens Street, 602 - Long Island City, New York",4381,Rental,1 Bed | 1 Bath,Listing ID: 3878609
"45-50 Pearson Street, 9K - Long Island City, New York",4225,"Rental, Doorman",2 Beds | 1 Bath,Listing ID: 3892695
"11-36 31st Avenue, 2 - Long Island City, New York",4200,Rental,3 Beds | 2 Baths,"Approximate Sq. Feet: 2,000 | Approximate Exterior Sq. Ft: 300"
"Factory House, 42-60 Crescent Street, 3C - Long Island City, New York",4200,Condo,2 Beds | 2 Baths,"Approximate Sq. Feet: 1,088"
"43-22 Queens Street, PH7 - Long Island City, New York",4092,Rental,1 Bed | 1 Bath,Listing ID: 3882687
"43-22 Queens Street, 910 - Long Island City, New York",4078,Rental,1 Bed | 1 Bath,Listing ID: 3882697
"10-50 Jackson Avenue, 8C - Long Island City, New York",4000,"Condo, Doorman",2 Beds | 1 Bath,Listing ID: 3779007
"37-25 33rd Street, PHA - Astoria, New York",3995,,1 Bed | 1 Bath,Approximate Sq. Feet: 885 | Approximate Exterior Sq. Ft: 565
"4610 Center Boulevard, 713 - Long Island City, New York",3951,"Rental, Doorman",1 Bed | 1 Bath,Listing ID: 3886540
"Crescent Club, 41-17 Crescent Street, 4F - Long Island City, New York",3941,Rental,2 Beds | 2 Baths,Approximate Sq. Feet: 925
"43-22 Queens Street, 3102 - Long Island City, New York",3927,Rental,1 Bed | 1 Bath,Listing ID: 3893884
"Avalon Riverview North, 4-75 48th Avenue, 1303 - Long Island City, New York",3850,Rental,1 Bed | 1 Bath,Approximate Sq. Feet: 722
"43-22 Queens Street, 4307 - Long Island City, New York",3813,Rental,1 Bed | 1 Bath,Listing ID: 3893838
"43-22 Queens Street, 3105 - Long Island City, New York",3813,Rental,1 Bed | 1 Bath,Listing ID: 3893821
"47-20 Center Boulevard, 1010 - Long Island City, New York",3800,"Rental, Doorman",1 Bed | 1 Bath,Approximate Sq. Feet: 628
"Avalon Riverview North, 4-75 48th Avenue, 12214 - Long Island City, New York",3705,Rental,1 Bed | 1 Bath,Approximate Sq. Feet: 606
"43-22 Queens Street, 1507 - Long Island City, New York",3698,Rental,1 Bed | 1 Bath,Listing ID: 3893827
"99-20 Ascan Ave - Forest Hills, New York",3688,Single Family Townhouse,3 Beds | 2 Baths,Listing ID: *1353747
"43-22 Queens Street, 609 - Long Island City, New York",3684,Rental,1 Bed | 1 Bath,Listing ID: 3893843
"37-40 27th Street, 6E - Long Island City, New York",3675,Rental,2 Beds | 1 Bath,Listing ID: 3839115
"2-14 50th Avenue, 310E - Long Island City, New York",3674,"Rental, Doorman",1 Bed | 1 Bath,Approximate Sq. Feet: 672
"131-01 40th Rd, 16D - Flushing, New York",3600,Condo,2 Beds | 2 Baths,"Approximate Sq. Feet: 1,050"
"131-03 40 Rd, Ph2Z - Flushing, New York",3600,Condo,2 Beds | 2 Baths,"Approximate Sq. Feet: 1,000 | Approximate Exterior Sq. Ft: 1000 Sq Ft"
"1803 Starr Street, 1 - Ridgewood, New York",3500,Rental,3 Beds | 1 Bath | 1 Half Bath,Listing ID: 3881376
"7311 67th Drive, 1 - Middle Village, New York",3500,Rental,4 Beds | 2 Baths,Listing ID: 3859843
"THE BADGE BUILDING, 10-55 47th Avenue, 4G - Long Island City, New York",3500,"Condo, Doorman",1 Bed | 1 Bath | 1 Half Bath,Approximate Sq. Feet: 896
"4720 Center Boulevard, 1508 - Long Island City, New York",3479,"Rental, Doorman",1 Bed | 1 Bath,Listing ID: 3890790
"43-22 Queens Street, 357 - Long Island City, New York",3375,Rental,Studio | 1 Bath,Listing ID: 3893883
"25-04 44th Street, 15 - Astoria, New York",3350,Rental,3 Beds | 1 Bath,Listing ID: 3861806
"66-44 Saunders St - Rego Park, New York",3300,Single Family Townhouse,3 Beds | 1 Bath,Approximate Exterior Sq. Ft: 2000 Sq Ft
"14-14B Clintonville St - Whitestone, New York",3300,Commercial,,"Approximate Sq. Feet: 1,200 | Approximate Exterior Sq. Ft: 1200 Sq Ft"
"45-50 Pearson Street, 12R - Long Island City, New York",3275,"Rental, Doorman",1 Bed | 1 Bath,Listing ID: 3892184
"10-49 49th Avenue, GARDEN - Long Island City, New York",3250,Multi-Family,2 Beds | 1 Bath,Listing ID: 3746878
"37-25 33rd Street, 3F - Astoria, New York",3200,,1 Bed | 1 Bath,Approximate Sq. Feet: 700 | Approximate Exterior Sq. Ft: 25
"25-19 43rd Avenue, 202 - Long Island City, New York",3200,"Condo, Doorman",1 Bed | 1 Bath,Approximate Sq. Feet: 778
"103-44 68th Avenue, K - Forest Hills, New York",3199,Rental,2 Beds | 2 Baths,Listing ID: 3869196
"4540 Center Boulevard, 1005 - Long Island City, New York",3194,"Rental, Doorman",1 Bed | 1 Bath,Listing ID: 3789929
"25-27 23rd Street, 3B - Astoria, New York",3150,"Rental, Doorman",1 Bed | 1 Bath,Listing ID: 3685962
"45-50 Pearson Street, 8P - Long Island City, New York",3125,"Rental, Doorman",1 Bed | 1 Bath,Listing ID: 3892307
"74-48 65th Street, 1 - Glendale, New York",3100,Rental,3 Beds | 2 Baths,Listing ID: 3818671
"39-60 54th Street, 8P - Woodside, New York",3100,"Cooperative, Doorman",2 Beds | 1 Bath,Listing ID: 3712465
